id,name,organization:party,organization:affiliation,organization:list
2014-550973-1-768-7,Aleš David,ano-2011_party,ano-2011_affiliation,768_list
2014-550973-1-5-1,Ander Martin,sz_party,sz_affiliation,5_list
2014-550973-1-1026-2,Bartík Svatopluk,ztb_party,bezpp_affiliation,1026_list
2014-550973-1-7-2,Bezvodová Natálie,cssd_party,cssd_affiliation,7_list
2014-550973-1-1-2,Bílek Bohumil,kdu-csl_party,kdu-csl_affiliation,1_list
2014-550973-1-768-3,Bořecký Petr,ano-2011_party,ano-2011_affiliation,768_list
2014-550973-1-53-7,Bradáč Otakar,ods_party,ods_affiliation,53_list
2014-550973-1-1-1,Dumbrovská Michaela,kdu-csl_party,kdu-csl_affiliation,1_list
2014-550973-1-768-4,Dvořák Pavel,ano-2011_party,ano-2011_affiliation,768_list
2014-550973-1-5-2,Flamiková Jasna,sz_party,sz_affiliation,5_list
2014-550973-1-1026-7,Fuksová Eliška,ztb_party,bezpp_affiliation,1026_list
2014-550973-1-1026-11,Hollan Jan,ztb_party,les_affiliation,1026_list
2014-550973-1-1026-1,Hollan Matěj,ztb_party,ztb_affiliation,1026_list
2014-550973-1-47-1,Hráček Jiří,kscm_party,kscm_affiliation,47_list
2014-550973-1-1-3,Chvátal Filip,kdu-csl_party,kdu-csl_affiliation,1_list
2014-550973-1-1026-5,Izák Tomáš,ztb_party,bezpp_affiliation,1026_list
2014-550973-1-1026-3,Kalousek Petr,ztb_party,bezpp_affiliation,1026_list
2014-550973-1-53-3,Kerndl Robert,ods_party,ods_affiliation,53_list
2014-550973-1-721-11,Kostřica Roman,top-09_party,top-09_affiliation,721_list
2014-550973-1-53-4,Kotěra Roman,ods_party,ods_affiliation,53_list
2014-550973-1-7-4,Kubějová Jana,cssd_party,cssd_affiliation,7_list
2014-550973-1-1026-8,Kvapil Robin,ztb_party,ztb_affiliation,1026_list
2014-550973-1-768-8,Martin Landa,ztb_party,ztb_affiliation,1026_list
2014-550973-1-1026-4,Machů Zdeněk,ano-2011_party,ano-2011_affiliation,768_list
2014-550973-1-53-5,Mencl Vojtěch,ods_party,ods_affiliation,53_list
2014-550973-1-5-3,Oplatek David,sz_party,sz_affiliation,5_list
2014-550973-1-721-4,Otradovec Tomáš Jan,top-09_party,top-09_affiliation,721_list
2014-550973-1-768-6,Oulehlová Ludmila,ano-2011_party,ano-2011_affiliation,768_list
2014-550973-1-768-5,Pazdírek Jan,ano-2011_party,ano-2011_affiliation,768_list
2014-550973-1-1-5,Pelikán Ctibor,kdu-csl_party,kdu-csl_affiliation,1_list
2014-550973-1-7-6,Řepa Tomáš,cssd_party,cssd_affiliation,7_list
2014-550973-1-47-2,Říha Martin,kscm_party,kscm_affiliation,47_list
2014-550973-1-7-1,Sázavský Pavel,cssd_party,cssd_affiliation,7_list
2014-550973-1-768-1,Schwab Martin,ano-2011_party,ano-2011_affiliation,768_list
2014-550973-1-1026-6,Stankovič Vladimír,ztb_party,bezpp_affiliation,1026_list
2014-550973-1-721-1,Straka Bohumil,top-09_party,top-09_affiliation,721_list
2014-550973-1-53-1,Šťástka Libor,ods_party,ods_affiliation,53_list
2014-550973-1-768-2,Švachula Jiří,ano-2011_party,ano-2011_affiliation,768_list
2014-550973-1-5-21,Tkáč Daniel,sz_party,sz_affiliation,5_list
2014-550973-1-7-5,Toman Bedřich,cssd_party,cssd_affiliation,7_list
2014-550973-1-53-6,Vaníček Miroslav,ods_party,ods_affiliation,53_list
2014-550973-1-53-2,Vaňková Markéta,ods_party,ods_affiliation,53_list
2014-550973-1-1-4,Weinberger Vojtěch,kdu-csl_party,kdu-csl_affiliation,1_list
2014-550973-1-5-4,Závodský Michal,sz_party,bezpp_affiliation,5_list
2014-550973-1-7-3,Zechmeister Jindřich,cssd_party,cssd_affiliation,7_list
