id,name,organization:party,organization:affiliation,organization:list,
2014-542041-1-901-8,Adamírová Jaroslava Mgr.,nk_party,bezpp_affiliation,901_list,
2014-542041-1-47-2,Egertová Jaroslava Mgr.,kscm_party,bezpp_affiliation,47_list,
2014-542041-1-47-1,Falbr Miroslav,kscm_party,kscm_affiliation,47_list,
2014-542041-1-721-7,Haifler Miloslav,top-09_party,bezpp_affiliation,721_list,
2014-542041-1-901-2,Havlíčková Dita Ing.,nk_party,bezpp_affiliation,901_list,
2014-542041-1-901-1,Kejla Václav,nk_party,bezpp_affiliation,901_list,
2014-542041-1-721-1,Krabcová Jitka,top-09_party,bezpp_affiliation,721_list,
2014-542041-1-901-3,Kulhánek Rudolf,nk_party,bezpp_affiliation,901_list,
2014-542041-1-721-3,Parkman Jiří Ing.,top-09_party,bezpp_affiliation,721_list,
2014-542041-1-721-5,Parkmanová Ladislava Ing.,top-09_party,bezpp_affiliation,721_list,
2014-542041-1-901-6,Pucholt Jiří,nk_party,bezpp_affiliation,901_list,
2014-542041-1-901-5,Soukup Jaroslav,nk_party,bezpp_affiliation,901_list,
2014-542041-1-901-4,Štysová Kateřina,nk_party,bezpp_affiliation,901_list,
2014-542041-1-721-2,Vaidiš Jan,top-09_party,bezpp_affiliation,721_list,
2014-542041-1-47-6,Valenta Jan,kscm_party,kscm_affiliation,47_list,
