id,name,group:id
3165,Alena Samková,ODS
4067,Antonín Ptáček,ODS
3926,Antonín Weinert,ČSSD
3484,Bohumil Zoufalík,ODS
4294,Dagmar Gušlbauerová,KSČM
4065,Dalibor Mlejnský,ODS
3925,David Vodrážka,ODS
4104,Eva Tylová,SZ
4027,Filip Dvořák,ODS
4039,František Hoffman,KSČM
4080,František Stádník,ODS
3459,Hana Halová,ČSSD
4122,Hana Žižková,ODS
3452,Iva Kotvová,SZ
3444,Ivan Bednář,ODS
3461,Jan Choděra,ČSSD
3167,Jan Slezák,ČSSD
4100,Jan Svátek,ODS
4099,Jana Ryšlinková,SNK ED
4045,Jiří Janeček,ODS
4114,Jiří Witzany,SNK ED
3967,Karel Březina,ČSSD
4293,Karel Hagel,ODS
3269,Karel Jech,SZ
3969,Karel Klíma,ČSSD
4047,Ladislav Kouba,ODS
4102,Ladislav Šilha,ODS
4009,Lenka Alinčová,ODS
3460,Lubomír Habrnal,ČSSD
4069,Marcel Rückl,ODS
3230,Marie Kousalíková,ODS
3480,Markéta Reedová,SNK ED
3762,Marta Semelová,KSČM
3471,Martin Langmajer,ODS
4101,Martina Šandová,ODS
4010,Michaela Bartáková,ODS
3689,Milan Jančík,ODS
4049,Milan Macek,KSČM
4066,Milan Pešák,ODS
4684,Milan Richter,ODS
3457,Miloš Gregar,ODS
3472,Miloslav Ludvík,ČSSD
4064,Miloslav Mihálik,ODS
3454,Miroslav Froněk,ODS
3478,Miroslav Poche,ČSSD
3186,Ondřej Pecha,ODS
3447,Pavel Ambrož,KSČM
3632,Pavel Bém,ODS
3184,Pavel Hurda,ODS
3464,Pavel Klega,ODS
4121,Pavel Žďárský,ODS
4041,Petr Hulinský,ČSSD
3538,Petr Kužel,ODS
3346,Petr Štěpánek,SZ
4105,Petr Valenta,ODS
4115,Petr Zajíček,KSČM
3970,Petra Kolínská,SZ
4048,Radek Lohynský,ODS
4097,Radovan Šteiner,ODS
4014,Rudolf Blažek,ODS
4103,Štěpán Šlosár,ODS
4012,Tomáš Chalupa,ODS
3482,Tomáš Chvála,ODS
4011,Tomáš Homola,SNK ED
4046,Tomáš Kaštovský,ODS
3170,Tomáš Vavřinec,ODS
4079,Viktor Pázler,KSČM
3483,Vladislav Mareček,ODS
4068,Zbyněk Richter,ODS
3644,Zuzana Drhová,SZ
